X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-81.39865,29.01172,0,0,111,1.42,,,,,,,,,,,,,,,,,,,,,,
-81.3987,29.0117,0,0,112,1.64,,,,,,,,,,,,,,,,,,,,,,
-81.39876,29.01166,0,0,113,2,,,,,,,,,,,,,,,,,,,,,,
-81.39884,29.01164,0,0,114,2,,,,,,,,,,,,,,,,,,,,,,
-81.3989,29.01163,0,0,115,2,,,,,,,,,,,,,,,,,,,,,,
-81.39895,29.01163,0,0,116,2,,,,,,,,,,,,,,,,,,,,,,
-81.39901,29.01163,0,0,117,2,,,,,,,,,,,,,,,,,,,,,,
-81.39907,29.01164,0,0,118,2,,,,,,,,,,,,,,,,,,,,,,
-81.39914,29.01165,0,0,119,2,,,,,,,,,,,,,,,,,,,,,,
-81.3992,29.01166,0,0,120,2,,,,,,,,,,,,,,,,,,,,,,
-81.39925,29.01167,0,0,121,2,,,,,,,,,,,,,,,,,,,,,,
-81.39934,29.01168,0,0,122,2,,,,,,,,,,,,,,,,,,,,,,
-81.39934,29.01168,0,0,123,2,,,,,,,,,,,,,,,,,,,,,,
-81.39952,29.01163,0,0,124,2,,,,,,,,,,,,,,,,,,,,,,
-81.39965,29.01164,0,0,125,2,,,,,,,,,,,,,,,,,,,,,,
-81.39972,29.01164,0,0,126,2,,,,,,,,,,,,,,,,,,,,,,
-81.39978,29.01164,0,0,127,2,,,,,,,,,,,,,,,,,,,,,,
-81.39983,29.01165,0,0,128,2,,,,,,,,,,,,,,,,,,,,,,
-81.39989,29.01167,0,0,129,2,,,,,,,,,,,,,,,,,,,,,,
-81.39993,29.0117,0,0,130,2,,,,,,,,,,,,,,,,,,,,,,
-81.39998,29.01173,0,0,131,2,,,,,,,,,,,,,,,,,,,,,,
-81.40004,29.01177,0,0,132,1.88,,,,,,,,,,,,,,,,,,,,,,
-81.40009,29.01179,0,0,133,1.67,,,,,,,,,,,,,,,,,,,,,,
-81.40015,29.01183,0,0,134,1.24,,,,,,,,,,,,,,,,,,,,,,
-81.40018,29.01186,0,0,135,1,,,,,,,,,,,,,,,,,,,,,,
-81.40024,29.0119,0,0,136,1,,,,,,,,,,,,,,,,,,,,,,
-81.4003,29.01193,0,0,137,1,,,,,,,,,,,,,,,,,,,,,,
-81.40037,29.01195,0,0,138,1,,,,,,,,,,,,,,,,,,,,,,
-81.40044,29.01197,0,0,139,1,,,,,,,,,,,,,,,,,,,,,,
-81.4005,29.01199,0,0,140,1,,,,,,,,,,,,,,,,,,,,,,
-81.40055,29.012,0,0,141,1,,,,,,,,,,,,,,,,,,,,,,
-81.40061,29.01202,0,0,142,1,,,,,,,,,,,,,,,,,,,,,,
-81.40067,29.01203,0,0,143,1,,,,,,,,,,,,,,,,,,,,,,
-81.40072,29.01206,0,0,144,1,,,,,,,,,,,,,,,,,,,,,,
-81.4008,29.01209,0,0,145,1,,,,,,,,,,,,,,,,,,,,,,
-81.40091,29.01211,0,0,146,1,,,,,,,,,,,,,,,,,,,,,,
-81.40098,29.01212,0,0,147,1.06,,,,,,,,,,,,,,,,,,,,,,
-81.40104,29.01214,0,0,148,1,,,,,,,,,,,,,,,,,,,,,,
-81.40111,29.01216,0,0,149,1,,,,,,,,,,,,,,,,,,,,,,
-81.40115,29.01217,0,0,150,1,,,,,,,,,,,,,,,,,,,,,,
-81.4012,29.01219,0,0,151,1,,,,,,,,,,,,,,,,,,,,,,
-81.40126,29.01222,0,0,152,1,,,,,,,,,,,,,,,,,,,,,,
-81.40132,29.01223,0,0,153,1,,,,,,,,,,,,,,,,,,,,,,
-81.40138,29.01224,0,0,154,1,,,,,,,,,,,,,,,,,,,,,,
-81.40144,29.01225,0,0,155,1,,,,,,,,,,,,,,,,,,,,,,
-81.4015,29.01226,0,0,156,1,,,,,,,,,,,,,,,,,,,,,,
-81.40162,29.01227,0,0,157,1.24,,,,,,,,,,,,,,,,,,,,,,
-81.40168,29.01228,0,0,158,1.38,,,,,,,,,,,,,,,,,,,,,,
-81.40173,29.01229,0,0,159,1.27,,,,,,,,,,,,,,,,,,,,,,
-81.40179,29.01231,0,0,160,1.05,,,,,,,,,,,,,,,,,,,,,,
-81.40184,29.01233,0,0,161,1,,,,,,,,,,,,,,,,,,,,,,
-81.40191,29.01236,0,0,162,1,,,,,,,,,,,,,,,,,,,,,,
-81.40196,29.0124,0,0,163,1.01,,,,,,,,,,,,,,,,,,,,,,
-81.40201,29.01243,0,0,164,1,,,,,,,,,,,,,,,,,,,,,,
-81.40206,29.01245,0,0,165,1.13,,,,,,,,,,,,,,,,,,,,,,
-81.4021,29.01248,0,0,166,1.15,,,,,,,,,,,,,,,,,,,,,,
-81.40216,29.01249,0,0,167,1.11,,,,,,,,,,,,,,,,,,,,,,
-81.40217,29.0125,0,0,168,1,,,,,,,,,,,,,,,,,,,,,,
-81.40228,29.01258,0,0,169,1,,,,,,,,,,,,,,,,,,,,,,
-81.40232,29.01262,0,0,170,1,,,,,,,,,,,,,,,,,,,,,,
-81.40237,29.01265,0,0,171,1,,,,,,,,,,,,,,,,,,,,,,
-81.40245,29.01269,0,0,172,1,,,,,,,,,,,,,,,,,,,,,,
-81.40253,29.01272,0,0,173,1,,,,,,,,,,,,,,,,,,,,,,
-81.40258,29.01275,0,0,174,1,,,,,,,,,,,,,,,,,,,,,,
-81.4027,29.01282,0,0,175,1,,,,,,,,,,,,,,,,,,,,,,
-81.40277,29.01287,0,0,176,1,,,,,,,,,,,,,,,,,,,,,,
-81.40285,29.01291,0,0,177,1,,,,,,,,,,,,,,,,,,,,,,
-81.40293,29.01293,0,0,178,1.23,,,,,,,,,,,,,,,,,,,,,,
-81.40302,29.01296,0,0,179,1.63,,,,,,,,,,,,,,,,,,,,,,
-81.40306,29.013,0,0,180,1.62,,,,,,,,,,,,,,,,,,,,,,
-81.40314,29.01306,0,0,181,1.87,,,,,,,,,,,,,,,,,,,,,,
-81.40354,29.01328,0,0,182,2,,,,,,,,,,,,,,,,,,,,,,
-81.40358,29.01331,0,0,183,2,,,,,,,,,,,,,,,,,,,,,,
-81.40368,29.01336,0,0,184,2,,,,,,,,,,,,,,,,,,,,,,
-81.40372,29.01339,0,0,185,2,,,,,,,,,,,,,,,,,,,,,,
